transaction_date,card_name,customer_id,account_number,merchant_name,mcc_code,transaction_amount
4/18/2021,Citi PremierMiles,C173847,A1234000102,Nike,4511,72.09
6/24/2021,Citi PremierMiles,C154774,A1234000102,Apple,5651,14.9
10/31/2021,Citi PremierMiles,C170287,A1234000102,Air India,4511,30.1
12/25/2021,Citi PremierMiles,C176675,A1234000102,Google Play,5651,26.78
8/25/2021,Citi PremierMiles,C170949,A1234000102,Emirates,4511,26
8/5/2021,Citi PremierMiles,C122298,A1234000102,Apple,5655,83.89
2/5/2021,Citi PremierMiles,C194695,A1234000102,CaratLane,4112,94.02
1/4/2021,Citi PremierMiles,C193623,A1234000102,Uber,5411,35.17
12/14/2021,Citi PremierMiles,C177646,A1234000102,BPCL,7832,84.6
1/23/2021,Citi PremierMiles,C123010,A1234000102,Zara,5812,90.97
12/6/2021,Citi PremierMiles,C156090,A1234000102,Booking.com,5814,56.68
10/31/2021,Citi PremierMiles,C100826,A1234000102,IndiGo,7011,32.3
10/8/2021,Citi PremierMiles,C122143,A1234000102,Marriott,5651,85
12/15/2021,Citi PremierMiles,C107854,A1234000102,Croma,5941,29.4
8/30/2021,Citi PremierMiles,C116105,A1234000102,BookMyShow,4511,77.47
11/5/2021,Citi PremierMiles,C160314,A1234000102,Taj Hotels,7011,67.3
5/8/2021,Citi PremierMiles,C189464,A1234000102,HPCL,5541,94.4
8/11/2021,Citi PremierMiles,C143088,A1234000102,ITC Hotels,5812,31.1
8/30/2021,Citi PremierMiles,C158261,A1234000102,HPCL,5732,82.71
8/10/2021,Citi PremierMiles,C111085,A1234000102,Ola,7011,57.15
12/8/2021,Citi PremierMiles,C190007,A1234000102,AJIO,5814,31.1
10/30/2021,Citi PremierMiles,C101551,A1234000102,ITC Hotels,4722,25.1
6/29/2021,Citi PremierMiles,C167890,A1234000102,MakeMyTrip,6012,55.29
2/15/2021,Citi PremierMiles,C108184,A1234000102,Google Play,7832,63.02
2/16/2021,Citi PremierMiles,C146293,A1234000102,Booking.com,4511,26.8
8/10/2021,Citi PremierMiles,C112286,A1234000102,Yatra,5814,11.36
10/9/2021,Citi PremierMiles,C107617,A1234000102,Emirates,5541,52.9
7/25/2021,Citi PremierMiles,C150588,A1234000102,Paytm,5944,76.26
12/28/2021,Citi PremierMiles,C131554,A1234000102,CaratLane,5912,93.6
1/18/2021,Citi PremierMiles,C178696,A1234000102,Decathlon,5541,66.92
5/4/2021,Citi PremierMiles,C186567,A1234000102,Apple,5732,93.45
10/23/2021,Citi PremierMiles,C100468,A1234000102,McDonald's,6012,88.7
12/24/2021,Citi PremierMiles,C173250,A1234000102,Yatra,5944,29.9
11/8/2021,Citi PremierMiles,C100139,A1234000102,H&M,6012,88.81
12/2/2021,Citi PremierMiles,C191104,A1234000102,Apple,4722,76.5
2/4/2021,Citi PremierMiles,C163602,A1234000102,DMart,5651,35.3
4/11/2021,Citi PremierMiles,C117932,A1234000102,Myntra,4121,82.52
12/5/2021,Citi PremierMiles,C164928,A1234000102,HPCL,5912,88.73
7/23/2021,Citi PremierMiles,C154396,A1234000102,Google Play,5311,37.25
11/1/2021,Citi PremierMiles,C114862,A1234000102,1mg,7011,58
2/13/2021,Citi PremierMiles,C125049,A1234000102,Nike,5912,16.5
2/19/2021,Citi PremierMiles,C131298,A1234000102,PhonePe,7832,63.1
2/20/2021,Citi PremierMiles,C170321,A1234000102,Nike,5655,31.65
11/7/2021,Citi PremierMiles,C166325,A1234000102,BookMyShow,5814,79.6
7/16/2021,Citi PremierMiles,C111999,A1234000102,PhonePe,5411,25.8
7/9/2021,Citi PremierMiles,C158311,A1234000102,IRCTC,4121,38.5
5/12/2021,Citi PremierMiles,C150104,A1234000102,Flipkart,5812,11.32
1/17/2021,Citi PremierMiles,C119523,A1234000102,Ola,5814,12.96
1/16/2021,Citi PremierMiles,C193380,A1234000102,KFC,5651,55.19
6/13/2021,Citi PremierMiles,C151143,A1234000102,PVR Cinemas,4511,52.6
10/14/2021,Citi PremierMiles,C197185,A1234000102,PVR Cinemas,4112,21.62
2/22/2021,Citi PremierMiles,C145975,A1234000102,Paytm,5944,33.4
6/23/2021,Citi PremierMiles,C173891,A1234000102,IndiGo,5411,10.3
9/11/2021,Citi PremierMiles,C109001,A1234000102,Nike,5732,44.67
5/11/2021,Citi PremierMiles,C126642,A1234000102,ITC Hotels,7832,62.4
11/5/2021,Citi PremierMiles,C185428,A1234000102,Singapore Airlines,5912,48.88
12/20/2021,Citi PremierMiles,C147176,A1234000102,Ola,4121,86
2/18/2021,Citi PremierMiles,C115080,A1234000102,IRCTC,5944,66.1
11/1/2021,Citi PremierMiles,C165094,A1234000102,Pantaloons,4511,34.21
9/2/2021,Citi PremierMiles,C187676,A1234000102,BookMyShow,4121,83.79
3/26/2021,Citi PremierMiles,C106458,A1234000102,Myntra,5732,55.45
2/15/2021,Citi PremierMiles,C135538,A1234000102,Pantaloons,6012,79
12/11/2021,Citi PremierMiles,C114520,A1234000102,AJIO,5812,61.5
5/18/2021,Citi PremierMiles,C128072,A1234000102,Vijay Sales,5541,49.8
12/31/2021,Citi PremierMiles,C103591,A1234000102,Marriott,4511,46.05
11/14/2021,Citi PremierMiles,C178550,A1234000102,IndianOil,5732,12
3/4/2021,Citi PremierMiles,C180668,A1234000102,IndianOil,5541,52.7
10/27/2021,Citi PremierMiles,C186646,A1234000102,Airbnb,6012,66.7
9/18/2021,Citi PremierMiles,C178733,A1234000102,IRCTC,5411,96.1
10/1/2021,Citi PremierMiles,C106043,A1234000102,Paytm,5311,49.61
4/18/2021,Citi PremierMiles,C138221,A1234000102,McDonald's,5944,54.19
7/1/2021,Citi PremierMiles,C112345,A1234000102,Nike,4511,57.23
5/1/2021,Citi PremierMiles,C115863,A1234000102,Shell,5732,47.18
10/12/2021,Citi PremierMiles,C122914,A1234000102,Zomato,5541,62.66
7/15/2021,Citi PremierMiles,C139403,A1234000102,Big Bazaar,4511,16.4
10/24/2021,Citi PremierMiles,C125568,A1234000102,HPCL,4511,54.44
5/10/2021,Citi PremierMiles,C118035,A1234000102,Domino's,5814,65.5
3/13/2021,Citi PremierMiles,C100844,A1234000102,Domino's,5651,77.69
2/2/2021,Citi PremierMiles,C154703,A1234000102,PVR Cinemas,5812,49.1
12/13/2021,Citi PremierMiles,C109980,A1234000102,IRCTC,5912,37.55
1/17/2021,Citi PremierMiles,C168965,A1234000102,MakeMyTrip,5732,10.54
3/10/2021,Citi PremierMiles,C178291,A1234000102,Booking.com,5651,78.83
10/30/2021,Citi PremierMiles,C148698,A1234000102,Taj Hotels,5651,17.1
9/15/2021,Citi PremierMiles,C170994,A1234000102,Yatra,7011,54.6
8/18/2021,Citi PremierMiles,C174232,A1234000102,KFC,4121,37.69
11/11/2021,Citi PremierMiles,C181245,A1234000102,IndianOil,5944,86.51
9/28/2021,Citi PremierMiles,C168209,A1234000102,H&M,5814,96.48
3/29/2021,Citi PremierMiles,C138600,A1234000102,Amazon,7832,39.01
2/22/2021,Citi PremierMiles,C172255,A1234000102,Zomato,4511,91.7
10/13/2021,Citi PremierMiles,C194249,A1234000102,Emirates,5944,40.7
7/23/2021,Citi PremierMiles,C199793,A1234000102,Big Bazaar,5944,83.9
12/1/2021,Citi PremierMiles,C104039,A1234000102,Vistara,5411,82.7
12/16/2021,Citi PremierMiles,C107706,A1234000102,AJIO,4121,69.62
12/3/2021,Citi PremierMiles,C167400,A1234000102,PVR Cinemas,5311,30.8
8/14/2021,Citi PremierMiles,C183077,A1234000102,BPCL,7011,22.53
5/8/2021,Citi PremierMiles,C120271,A1234000102,H&M,5814,48.6
12/25/2021,Citi PremierMiles,C180163,A1234000102,PVR Cinemas,7011,23.8
4/8/2021,Citi PremierMiles,C139614,A1234000102,Zomato,5812,89.5
11/24/2021,Citi PremierMiles,C111372,A1234000102,Ola,5311,26.3
10/30/2021,Citi PremierMiles,C132382,A1234000102,Amazon,4511,12.8
6/30/2021,Citi PremierMiles,C130566,A1234000102,Emirates,5541,60.9
8/28/2021,Citi PremierMiles,C148890,A1234000102,Rapido,5411,49
8/29/2021,Citi PremierMiles,C150418,A1234000102,Uber,5411,88.1
1/16/2021,Citi PremierMiles,C121057,A1234000102,BPCL,5812,24.6
7/14/2021,Citi PremierMiles,C103049,A1234000102,INOX,4121,42.79
11/22/2021,Citi PremierMiles,C175138,A1234000102,Zara,5944,68.28
5/27/2021,Citi PremierMiles,C176841,A1234000102,DMart,5912,94.7
9/11/2021,Citi PremierMiles,C176292,A1234000102,IndianOil,5814,33.82
11/20/2021,Citi PremierMiles,C104564,A1234000102,Google Play,5411,72.6
8/1/2021,Citi PremierMiles,C124695,A1234000102,1mg,5814,23.6
4/15/2021,Citi PremierMiles,C190871,A1234000102,Shell,7011,77.35
11/21/2021,Citi PremierMiles,C182580,A1234000102,Tanishq,7011,36.7
11/18/2021,Citi PremierMiles,C152653,A1234000102,BookMyShow,5816,32.2
1/7/2021,Citi PremierMiles,C124476,A1234000102,Singapore Airlines,5732,30.9
8/17/2021,Citi PremierMiles,C182825,A1234000102,Singapore Airlines,7011,43.73
6/17/2021,Citi PremierMiles,C178574,A1234000102,Rapido,5651,39.9
2/24/2021,Citi PremierMiles,C177534,A1234000102,Decathlon,4121,65.7
11/4/2021,Citi PremierMiles,C107309,A1234000102,IRCTC,4722,59.56
2/20/2021,Citi PremierMiles,C186115,A1234000102,PharmEasy,7011,78.21
11/13/2021,Citi PremierMiles,C156186,A1234000102,AJIO,5541,36.8
3/27/2021,Citi PremierMiles,C159769,A1234000102,Vistara,4121,97.4
3/16/2021,Citi PremierMiles,C184817,A1234000102,DMart,4121,59.5
12/30/2021,Citi PremierMiles,C123188,A1234000102,ITC Hotels,4121,71.8
11/14/2021,Citi PremierMiles,C127622,A1234000102,Singapore Airlines,7011,72.62
2/10/2021,Citi PremierMiles,C183251,A1234000102,Malabar Gold,5912,23.86
7/29/2021,Citi PremierMiles,C137352,A1234000102,ITC Hotels,5944,23.2
6/8/2021,Citi PremierMiles,C174618,A1234000102,Malabar Gold,5541,52.04
2/26/2021,Citi PremierMiles,C197787,A1234000102,Ola,7011,57.5
7/27/2021,Citi PremierMiles,C132329,A1234000102,Emirates,5411,34.8
4/29/2021,Citi PremierMiles,C188759,A1234000102,PharmEasy,5651,26.4
1/8/2021,Citi PremierMiles,C124046,A1234000102,Ola,5411,55.85
1/6/2021,Citi PremierMiles,C134931,A1234000102,HPCL,4121,70
8/10/2021,Citi PremierMiles,C117005,A1234000102,Malabar Gold,5814,30.8
1/29/2021,Citi PremierMiles,C134301,A1234000102,PVR Cinemas,5411,29.87
1/11/2021,Citi PremierMiles,C191667,A1234000102,AJIO,7011,96.89
8/25/2021,Citi PremierMiles,C183498,A1234000102,Marriott,5651,75.96
6/7/2021,Citi PremierMiles,C103708,A1234000102,IndianOil,4511,13.12
7/24/2021,Citi PremierMiles,C185995,A1234000102,Nike,6012,99.3
10/26/2021,Citi PremierMiles,C166002,A1234000102,Myntra,6012,10.77
1/7/2021,Citi PremierMiles,C164237,A1234000102,BPCL,5311,34.11
4/2/2021,Citi PremierMiles,C110716,A1234000102,IndianOil,4511,93.47
9/6/2021,Citi PremierMiles,C186955,A1234000102,Apple,6012,17.31
2/12/2021,Citi PremierMiles,C177365,A1234000102,BookMyShow,5411,87.8
10/19/2021,Citi PremierMiles,C152901,A1234000102,Vijay Sales,7011,23.16
12/19/2021,Citi PremierMiles,C133258,A1234000102,Reliance Fresh,6012,26.31
9/30/2021,Citi PremierMiles,C181045,A1234000102,Malabar Gold,7011,81.4
3/16/2021,Citi PremierMiles,C177416,A1234000102,IndiGo,6012,91.5
8/18/2021,Citi PremierMiles,C192800,A1234000102,Booking.com,5655,51.9
5/11/2021,Citi PremierMiles,C161175,A1234000102,Tanishq,5941,13.5
10/3/2021,Citi PremierMiles,C123851,A1234000102,MakeMyTrip,5912,38.7
7/25/2021,Citi PremierMiles,C145662,A1234000102,Croma,4511,11.39
8/4/2021,Citi PremierMiles,C174454,A1234000102,Taj Hotels,4121,41.77
9/9/2021,Citi PremierMiles,C180029,A1234000102,Airbnb,7011,70
9/29/2021,Citi PremierMiles,C178163,A1234000102,Big Bazaar,7832,34.13
5/22/2021,Citi PremierMiles,C133995,A1234000102,ITC Hotels,5912,69.3
4/29/2021,Citi PremierMiles,C176137,A1234000102,Taj Hotels,7011,94.39
2/20/2021,Citi PremierMiles,C179974,A1234000102,Singapore Airlines,5411,52.41
6/10/2021,Citi PremierMiles,C121537,A1234000102,Marriott,5912,28.8
2/1/2021,Citi PremierMiles,C167730,A1234000102,Shell,5541,94
6/23/2021,Citi PremierMiles,C153752,A1234000102,Adidas,7832,96.06
3/20/2021,Citi PremierMiles,C190200,A1234000102,Tanishq,6012,22.28
5/17/2021,Citi PremierMiles,C157948,A1234000102,Marriott,4511,91.9
6/13/2021,Citi PremierMiles,C148328,A1234000102,Malabar Gold,5411,36.58
12/9/2021,Citi PremierMiles,C187727,A1234000102,Amazon,5732,21.7
1/10/2021,Citi PremierMiles,C109314,A1234000102,AJIO,5651,20.74
9/7/2021,Citi PremierMiles,C111981,A1234000102,Rapido,5912,79.1
4/28/2021,Citi PremierMiles,C102762,A1234000102,McDonald's,4511,18.05
10/29/2021,Citi PremierMiles,C156963,A1234000102,Vistara,7832,79.4
1/1/2021,Citi PremierMiles,C158116,A1234000102,CaratLane,6012,31.8
12/3/2021,Citi PremierMiles,C172395,A1234000102,McDonald's,5411,48.1
9/27/2021,Citi PremierMiles,C176036,A1234000102,Adidas,5944,23.01
7/5/2021,Citi PremierMiles,C124647,A1234000102,Shell,5814,69.4
1/16/2021,Citi PremierMiles,C170331,A1234000102,IndiGo,5732,51.65
9/3/2021,Citi PremierMiles,C148546,A1234000102,Swiggy,5812,45.83
1/3/2021,Citi PremierMiles,C197264,A1234000102,PharmEasy,5655,83.22
1/2/2021,Citi PremierMiles,C117041,A1234000102,BPCL,5732,51.8
4/7/2021,Citi PremierMiles,C171736,A1234000102,Airbnb,7011,72.9
8/6/2021,Citi PremierMiles,C192961,A1234000102,IndianOil,5651,81.15
5/6/2021,Citi PremierMiles,C136702,A1234000102,IndiGo,4121,66
6/14/2021,Citi PremierMiles,C147820,A1234000102,BPCL,5541,97.48
5/14/2021,Citi PremierMiles,C113338,A1234000102,H&M,5655,60.12
11/24/2021,Citi PremierMiles,C160254,A1234000102,AJIO,5944,29.9
7/23/2021,Citi PremierMiles,C157486,A1234000102,Vijay Sales,5411,59.3
11/13/2021,Citi PremierMiles,C113919,A1234000102,Decathlon,5541,32.2
7/8/2021,Citi PremierMiles,C137335,A1234000102,INOX,4722,17.58
10/28/2021,Citi PremierMiles,C198105,A1234000102,KFC,5411,78.82
10/22/2021,Citi PremierMiles,C123664,A1234000102,Airbnb,4511,34.07
1/1/2021,Citi PremierMiles,C113293,A1234000102,Pantaloons,5651,38.5
11/27/2021,Citi PremierMiles,C112076,A1234000102,Marriott,5541,99.9
2/21/2021,Citi PremierMiles,C110624,A1234000102,Domino's,5732,46.5
8/25/2021,Citi PremierMiles,C146799,A1234000102,Uber,5411,50.15
5/14/2021,Citi PremierMiles,C144126,A1234000102,INOX,5655,93.77
12/19/2021,Citi PremierMiles,C182410,A1234000102,1mg,5944,81.9
9/28/2021,Citi PremierMiles,C160268,A1234000102,Emirates,7011,88.2
1/30/2021,Citi PremierMiles,C165009,A1234000102,Zomato,7011,52.62
9/29/2021,Citi PremierMiles,C175552,A1234000102,Apollo Pharmacy,4112,29.3
1/25/2021,Citi PremierMiles,C109701,A1234000102,Google Play,4722,16
9/2/2021,Citi PremierMiles,C102151,A1234000102,Taj Hotels,5814,17.3
3/22/2021,Citi PremierMiles,C156599,A1234000102,Apollo Pharmacy,5812,22.46
2/27/2021,Citi PremierMiles,C150468,A1234000102,AJIO,4511,34.51
11/7/2021,Citi PremierMiles,C103659,A1234000102,BookMyShow,4722,80.7
1/2/2021,Citi PremierMiles,C103671,A1234000102,Nike,5812,30.9
5/16/2021,Citi PremierMiles,C175510,A1234000102,Reliance Fresh,5814,48.4
3/5/2021,Citi PremierMiles,C177742,A1234000102,Zomato,5655,51.7
2/23/2021,Citi PremierMiles,C143008,A1234000102,Uber,5411,38.18
10/23/2021,Citi PremierMiles,C123361,A1234000102,Vijay Sales,5311,26.1
5/12/2021,Citi PremierMiles,C118956,A1234000102,CaratLane,5912,34.4
11/18/2021,Citi PremierMiles,C147618,A1234000102,Rapido,5912,87.56
11/29/2021,Citi PremierMiles,C181152,A1234000102,Domino's,5912,100.5
9/14/2021,Citi PremierMiles,C104921,A1234000102,Ola,4511,43.7
2/17/2021,Citi PremierMiles,C187369,A1234000102,MakeMyTrip,4511,52.01
2/7/2021,Citi PremierMiles,C110895,A1234000102,Pantaloons,7011,40.48
10/1/2021,Citi PremierMiles,C115502,A1234000102,HPCL,5311,43.2
8/10/2021,Citi PremierMiles,C136684,A1234000102,ITC Hotels,4722,72.53
11/17/2021,Citi PremierMiles,C145681,A1234000102,Adidas,5541,76.91
6/9/2021,Citi PremierMiles,C125506,A1234000102,Zomato,5816,38.9
7/7/2021,Citi PremierMiles,C192335,A1234000102,Air India,4121,23.2
12/13/2021,Citi PremierMiles,C112703,A1234000102,Amazon,7011,74.38
1/9/2021,Citi PremierMiles,C104646,A1234000102,Shell,5941,49.98
8/20/2021,Citi PremierMiles,C167671,A1234000102,PVR Cinemas,5912,93.4
8/29/2021,Citi PremierMiles,C153851,A1234000102,Apollo Pharmacy,4121,47.25
10/13/2021,Citi PremierMiles,C184518,A1234000102,IRCTC,4511,12.52
5/4/2021,Citi PremierMiles,C143607,A1234000102,Air India,7011,76.1
6/27/2021,Citi PremierMiles,C139297,A1234000102,CaratLane,7011,99.7
5/7/2021,Citi PremierMiles,C134248,A1234000102,PharmEasy,4112,52.43
11/23/2021,Citi PremierMiles,C145213,A1234000102,Apple,5651,96.68
3/18/2021,Citi PremierMiles,C174381,A1234000102,IndianOil,5311,24.8
